cpu,cpu=cpu-total,host=SKP1003855MA0001.local usage_system=1.6941735433858465,usage_idle=92.88572143035759,usage_iowait=0,usage_steal=0,usage_guest=0,usage_user=5.420105026256564,usage_nice=0,usage_irq=0,usage_softirq=0,usage_guest_nice=0 1591759610000000000

cpu,cpu=cpu15,host=SKP1003855MA0001.local usage_guest=0,usage_guest_nice=0,usage_user=0.6,usage_system=0.7,usage_nice=0,usage_irq=0,usage_idle=98.7,usage_iowait=0,usage_softirq=0,usage_steal=0 1591759610000000000

cpu,cpu=cpu14,host=SKP1003855MA0001.local usage_system=2.2,usage_iowait=0,usage_irq=0,usage_softirq=0,usage_user=5.1,usage_idle=92.7,usage_nice=0,usage_steal=0,usage_guest=0,usage_guest_nice=0 1591759610000000000

cpu,cpu=cpu13,host=SKP1003855MA0001.local usage_irq=0,usage_softirq=0,usage_guest_nice=0,usage_user=0.4004004004004004,usage_idle=99.1991991991992,usage_iowait=0,usage_steal=0,usage_guest=0,usage_system=0.4004004004004004,usage_nice=0 1591759610000000000

cpu,cpu=cpu12,host=SKP1003855MA0001.local usage_nice=0,usage_iowait=0,usage_irq=0,usage_steal=0,usage_guest=0,usage_guest_nice=0,usage_user=7.792207792207792,usage_system=1.998001998001998,usage_idle=90.20979020979021,usage_softirq=0 1591759610000000000

cpu,cpu=cpu11,host=SKP1003855MA0001.local usage_user=0.5,usage_idle=99.1,usage_nice=0,usage_steal=0,usage_guest_nice=0,usage_system=0.4,usage_iowait=0,usage_irq=0,usage_softirq=0,usage_guest=0 1591759610000000000

cpu,cpu=cpu10,host=SKP1003855MA0001.local usage_system=2.1,usage_iowait=0,usage_guest_nice=0,usage_irq=0,usage_softirq=0,usage_steal=0,usage_guest=0,usage_user=8.5,usage_idle=89.4,usage_nice=0 1591759610000000000

cpu,cpu=cpu9,host=SKP1003855MA0001.local usage_system=0.4,usage_iowait=0,usage_irq=0,usage_guest_nice=0,usage_user=0.4,usage_idle=99.2,usage_nice=0,usage_softirq=0,usage_steal=0,usage_guest=0 1591759610000000000

mem,host=SKP1003855MA0001.local mapped=0i,wired=3232206848i,slab=0i,huge_page_size=0i,low_total=0i,vmalloc_chunk=0i,available=18509651968i,inactive=10340843520i,dirty=0i,high_total=0i,vmalloc_used=0i,used_percent=46.129822731018066,committed_as=0i,low_free=0i,sreclaimable=0i,swap_free=0i,used=15850086400i,buffered=0i,page_tables=0i,swap_cached=0i,active=11567624192i,write_back_tmp=0i,free=8168808448i,high_free=0i,write_back=0i,sunreclaim=0i,total=34359738368i,available_percent=53.870177268981934,commit_limit=0i,shared=0i,vmalloc_total=0i,cached=0i,huge_pages_free=0i,huge_pages_total=0i,swap_total=0i 1591759610000000000

cpu,cpu=cpu8,host=SKP1003855MA0001.local usage_idle=89,usage_iowait=0,usage_irq=0,usage_guest=0,usage_steal=0,usage_guest_nice=0,usage_user=8.3,usage_system=2.7,usage_nice=0,usage_softirq=0 1591759610000000000

cpu,cpu=cpu7,host=SKP1003855MA0001.local usage_system=0.3,usage_idle=99.2,usage_nice=0,usage_iowait=0,usage_irq=0,usage_steal=0,usage_user=0.5,usage_softirq=0,usage_guest=0,usage_guest_nice=0 1591759610000000000

cpu,cpu=cpu6,host=SKP1003855MA0001.local usage_guest=0,usage_system=2.7027027027027026,usage_nice=0,usage_iowait=0,usage_softirq=0,usage_steal=0,usage_user=9.70970970970971,usage_idle=87.58758758758759,usage_irq=0,usage_guest_nice=0 1591759610000000000

cpu,cpu=cpu5,host=SKP1003855MA0001.local usage_idle=99.3993993993994,usage_irq=0,usage_softirq=0,usage_steal=0,usage_guest_nice=0,usage_user=0.4004004004004004,usage_system=0.2002002002002002,usage_nice=0,usage_iowait=0,usage_guest=0 1591759610000000000

cpu,cpu=cpu4,host=SKP1003855MA0001.local usage_user=12.1,usage_system=3.1,usage_nice=0,usage_irq=0,usage_softirq=0,usage_steal=0,usage_idle=84.8,usage_iowait=0,usage_guest=0,usage_guest_nice=0 1591759610000000000

cpu,cpu=cpu3,host=SKP1003855MA0001.local usage_irq=0,usage_softirq=0,usage_guest_nice=0,usage_system=0.4004004004004004,usage_idle=99.1991991991992,usage_nice=0,usage_iowait=0,usage_steal=0,usage_guest=0,usage_user=0.4004004004004004 1591759610000000000

cpu,cpu=cpu2,host=SKP1003855MA0001.local usage_system=4,usage_nice=0,usage_iowait=0,usage_steal=0,usage_guest=0,usage_guest_nice=0,usage_user=15.3,usage_idle=80.7,usage_irq=0,usage_softirq=0 1591759610000000000

cpu,cpu=cpu1,host=SKP1003855MA0001.local usage_user=0.5005005005005005,usage_system=0.4004004004004004,usage_nice=0,usage_irq=0,usage_idle=99.09909909909909,usage_iowait=0,usage_softirq=0,usage_steal=0,usage_guest=0,usage_guest_nice=0 1591759610000000000

cpu,cpu=cpu0,host=SKP1003855MA0001.local usage_user=16.2,usage_system=5.1,usage_idle=78.7,usage_nice=0,usage_iowait=0,usage_irq=0,usage_softirq=0,usage_steal=0,usage_guest=0,usage_guest_nice=0 1591759610000000000

cpu,cpu=cpu-total,host=SKP1003855MA0001.local usage_irq=0,usage_softirq=0,usage_guest=0,usage_idle=83.69667062277469,usage_nice=0,usage_iowait=0,usage_steal=0,usage_guest_nice=0,usage_user=8.72009494659254,usage_system=7.5832344306327695 1591759620000000000

cpu,cpu=cpu15,host=SKP1003855MA0001.local usage_system=2.5,usage_irq=0,usage_guest=0,usage_user=2.5,usage_idle=95,usage_nice=0,usage_iowait=0,usage_softirq=0,usage_steal=0,usage_guest_nice=0 1591759620000000000

cpu,cpu=cpu14,host=SKP1003855MA0001.local usage_user=12.9,usage_nice=0,usage_softirq=0,usage_guest=0,usage_guest_nice=0,usage_system=14.7,usage_idle=72.4,usage_iowait=0,usage_irq=0,usage_steal=0 1591759620000000000

cpu,cpu=cpu13,host=SKP1003855MA0001.local usage_user=2.3976023976023977,usage_system=2.4975024975024973,usage_nice=0,usage_irq=0,usage_steal=0,usage_guest=0,usage_guest_nice=0,usage_idle=95.1048951048951,usage_iowait=0,usage_softirq=0 1591759620000000000

cpu,cpu=cpu12,host=SKP1003855MA0001.local usage_steal=0,usage_guest_nice=0,usage_user=12.8,usage_system=14.1,usage_nice=0,usage_irq=0,usage_idle=73.1,usage_iowait=0,usage_softirq=0,usage_guest=0 1591759620000000000

cpu,cpu=cpu11,host=SKP1003855MA0001.local usage_iowait=0,usage_steal=0,usage_guest_nice=0,usage_idle=95.4045954045954,usage_nice=0,usage_irq=0,usage_softirq=0,usage_guest=0,usage_user=2.4975024975024973,usage_system=2.097902097902098 1591759620000000000

